Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:14:56,AB_1,6.4,12.69,6.86,8.84,11.67,9.61
2026-04-20 00:14:56,AB_1,7.84,12.36,6.44,8.22,11.75,7.52
2026-04-20 00:14:57,AB_1,6.74,12.8,6.44,9.05,12.39,9.41
2026-04-20 00:14:57,AB_1,7.61,13.0,6.38,7.81,11.47,7.49
2026-04-20 00:14:58,AB_1,6.77,12.59,6.42,9.46,12.44,9.51
2026-04-20 00:14:58,AB_1,7.72,12.47,6.25,7.92,11.39,7.73
2026-04-20 00:14:58,AB_1,6.98,13.0,6.43,9.21,12.49,8.87
2026-04-20 00:14:59,AB_1,7.23,12.27,5.95,7.98,11.29,7.92
2026-04-20 00:14:59,AB_1,6.91,13.1,6.97,8.75,12.2,9.1
2026-04-20 00:15:00,AB_1,7.77,11.82,6.15,8.63,11.61,8.13
2026-04-20 00:15:00,AB_1,6.93,13.3,6.65,8.15,11.8,9.09
2026-04-20 00:15:00,AB_1,7.56,12.1,6.4,8.83,11.48,8.3
2026-04-20 00:15:01,AB_1,6.99,12.9,6.64,8.51,11.57,8.86
2026-04-20 00:15:01,AB_1,7.61,12.8,6.14,8.26,11.55,7.75
2026-04-20 00:15:02,AB_1,6.52,12.44,6.51,8.94,12.01,9.3
2026-04-20 00:15:02,AB_1,7.88,12.9,6.53,8.21,11.42,7.52
2026-04-20 00:15:02,AB_1,6.69,11.97,6.18,9.66,12.28,8.83
2026-04-20 00:15:03,AB_1,6.76,12.2,6.55,8.53,11.52,8.1
2026-04-20 00:15:03,AB_1,7.35,12.75,6.45,9.03,11.98,8.26
2026-04-20 00:15:04,AB_1,6.71,11.5,6.32,9.71,12.25,8.54
2026-04-20 00:15:04,AB_1,7.02,12.55,6.21,7.95,11.27,7.77
2026-04-20 00:15:04,AB_1,6.79,12.5,6.35,9.55,12.76,9.14
2026-04-20 00:15:05,AB_1,7.71,12.57,5.82,7.22,10.99,7.37
2026-04-20 00:15:05,AB_1,6.75,13.2,6.55,9.01,12.19,9.47
2026-04-20 00:15:06,AB_1,7.89,11.88,6.25,8.47,11.42,7.65
2026-04-20 00:15:06,AB_1,6.65,13.4,6.83,8.37,11.95,9.15
2026-04-20 00:15:06,AB_1,7.78,12.34,6.48,8.51,11.3,8.14
2026-04-20 00:15:07,AB_1,7.44,12.9,7.0,8.43,11.83,8.84
2026-04-20 00:15:07,AB_1,7.84,12.49,6.17,8.45,11.67,8.25
2026-04-20 00:15:07,AB_1,7.09,13.2,6.42,8.15,11.73,8.61
2026-04-20 00:15:08,AB_1,7.38,12.65,6.24,8.6,12.09,8.52
2026-04-20 00:15:08,AB_1,7.13,13.2,6.38,8.12,11.87,8.32
2026-04-20 00:15:09,AB_1,7.39,12.44,6.33,8.81,12.25,8.73
2026-04-20 00:15:09,AB_1,7.41,13.0,6.27,8.01,11.6,8.13
2026-04-20 00:15:09,AB_1,7.07,12.65,6.51,8.85,12.22,8.8
2026-04-20 00:15:10,AB_1,7.47,12.9,6.45,8.24,11.69,7.99
2026-04-20 00:15:10,AB_1,6.95,12.62,6.35,8.62,12.12,8.87
2026-04-20 00:15:11,AB_1,7.49,12.58,6.46,8.48,11.65,8.34
2026-04-20 00:15:11,AB_1,7.19,12.9,6.46,8.64,11.99,8.74
2026-04-20 00:15:11,AB_1,7.51,12.8,6.27,8.37,11.96,8.41
2026-04-20 00:15:12,AB_1,7.18,12.8,6.45,8.54,11.99,8.64
2026-04-20 00:15:12,AB_1,7.53,12.9,6.29,8.27,11.67,8.2
2026-04-20 00:15:13,AB_1,7.17,12.77,6.43,8.56,11.53,8.56
2026-04-20 00:15:13,AB_1,7.22,12.8,6.47,8.43,11.85,8.45
2026-04-20 00:15:13,AB_1,7.46,12.8,6.38,8.61,11.65,8.5
2026-04-20 00:15:14,AB_1,7.5,12.9,6.16,8.07,11.53,8.18
2026-04-20 00:15:25,AB_2,6.31,13.7,7.51,10.23,13.6,8.18
2026-04-20 00:15:25,AB_2,6.12,13.3,7.51,9.93,12.9,8.08
2026-04-20 00:15:26,AB_2,6.12,13.3,7.58,10.22,12.8,8.32
2026-04-20 00:15:26,AB_2,6.34,13.1,7.67,10.16,12.12,8.25
2026-04-20 00:15:26,AB_2,6.46,13.3,7.96,10.27,12.58,8.46
2026-04-20 00:15:27,AB_2,6.25,13.0,7.81,10.13,12.56,8.25
2026-04-20 00:15:27,AB_2,6.27,13.1,7.55,10.23,12.58,8.39
2026-04-20 00:15:28,AB_2,6.19,12.9,7.67,10.33,12.9,8.51
2026-04-20 00:15:28,AB_2,6.23,12.9,7.7,10.02,12.71,8.43
